sub-<subject_id>	age	sex
Sub-UTS01	24	F
Sub-UTS02	34	M
Sub-UTS03	21	M
Sub-UTS04	31	M
Sub-UTS05	24	F
Sub-UTS06	23	F
Sub-UTS07	25	M
Sub-UTS08	24	M
